index,mzmed,rtmed,matched,qSvsMB,qSvsNC,modelPredicted,predictVal,BLANK-A_0,BLANK-A_0.5,BLANK-A_1,BLANK-A_2,BLANK-A_3,BLANK-A_4,BLANK-A_5,BLANK-A_6,BLANK-A_7,BLANK-A_8,BLANK-A_9,BLANK-A_10,BLANK-A_11,BPF-A1_0,BPF-A1_0.5,BPF-A1_1,BPF-A1_2,BPF-A1_3,BPF-A1_4,BPF-A1_5,BPF-A1_6,BPF-A1_7,BPF-A1_8,BPF-A1_9,BPF-A1_10,BPF-A2_0,BPF-A2_0.5,BPF-A2_1,BPF-A2_2,BPF-A2_3,BPF-A2_4,BPF-A2_5,BPF-A2_6,BPF-A2_7,BPF-A2_8,BPF-A2_9,BPF-A2_10,BPF-B_0,BPF-B_0.5,BPF-B_1,BPF-B_2,BPF-B_3,BPF-B_4,BPF-B_5,BPF-B_6,BPF-B_7,BPF-B_8,BPF-B_9,BPF-B_10
1,1,239.18112856009756,10.380281690140858,0,1.182074513186054,0.9554778227368129,0,0,13275.021484375,13698.263671875,14477.26416015625,14156.56201171875,13666.5126953125,6136.83203125,12745.4716796875,5905.4912109375,13756.46044921875,6664.7353515625,5516.345703125,3680.3232421875,10650.5859375,14187.9443359375,12628.7236328125,12815.177734375,14146.232421875,14441.85693359375,13127.0546875,13163.384765625,13075.5068359375,14890.4638671875,5532.01416015625,11222.4150390625,7321.052734375,13626.06396484375,14166.74267578125,14004.837890625,13419.62744140625,14683.369140625,14283.384765625,13901.4580078125,6024.83056640625,0.0,5922.974609375,0.0,2964.189453125,14791.125,14369.068359375,13341.267578125,14342.111328125,15368.1787109375,13218.330078125,14398.51904296875,13229.90283203125,13304.4970703125,6333.650390625,6914.05908203125,13792.60009765625
2,2,122.96876091034815,1.065843621399174,0,0.5475458562427462,1.002794232782123,0,0,453110.828125,503825.375,520169.171875,705437.625,484014.015625,449490.1875,487648.875,374628.46875,315001.765625,187428.5,234477.2109375,235697.7734375,254105.0234375,422881.09375,432104.96875,551474.5,574669.59375,386792.421875,363900.15625,264240.53125,129770.16015625,225320.1171875,263908.390625,282130.046875,290314.6875,448105.375,555119.859375,635924.71875,615453.9375,370193.09375,343074.796875,362224.859375,251878.7265625,266434.6640625,284052.875,151198.833984375,268537.234375,211060.1796875,192642.65625,177740.75,163189.953125,212409.9609375,182265.484375,175507.203125,214816.5,217246.140625,225706.265625,202549.703125,217560.0078125
3,3,941.0015677459969,0.052066115702479245,0,0.9644203370247453,1.0411304857670725,0,0,468064.921875,1004131.3125,474206.546875,459385.375,508194.40625,481364.453125,462918.453125,388347.40625,462752.25,397781.875,400828.765625,387242.1875,314275.796875,483509.671875,418806.875,396213.6875,499554.125,418510.1875,479523.890625,476908.515625,423973.4375,514003.921875,354650.453125,325383.265625,357265.921875,490164.75,456284.109375,449038.90625,461590.34375,536651.640625,472195.859375,513896.546875,372404.53125,441558.96875,420616.359375,450148.625,357507.96875,416057.875,461729.625,468843.921875,410538.21875,435735.171875,463199.78125,454645.28125,404585.3125,371344.765625,368607.984375,377729.59375,464118.78125
4,4,194.9271200326773,1.001025641025641,0,0.2470828395669733,0.5339364568568976,0,0,115326.6796875,131505.03515625,103661.6484375,130715.01953125,164360.3203125,140395.0625,161358.2578125,94626.27734375,235819.9375,187241.3203125,237130.890625,287224.4140625,312758.640625,119678.2890625,120357.80859375,134646.828125,178578.8046875,270286.203125,319727.734375,442792.328125,536048.65625,696026.5625,567283.453125,640145.0,683918.875,123123.86328125,123826.33203125,126350.43359375,181060.5,262285.9609375,274698.9609375,351127.34375,297962.6015625,292940.3359375,428668.328125,225822.998046875,562529.359375,78716.21875,80424.9609375,75281.5859375,78454.06640625,89021.32421875,105852.046875,106766.4453125,66791.9375,90917.51953125,62563.9765625,64016.068359375,84569.66015625
5,5,983.9889564680986,0.887654320987652,0,0.08335751476578747,0.8294108342394575,0,0,11776.66796875,34653.4912109375,16528.423828125,19592.6904296875,23443.263671875,30937.7275390625,43285.919921875,80188.875,181929.1953125,142514.03125,178468.5390625,183235.1015625,148422.609375,12159.69482421875,10221.897216796875,17385.3701171875,37701.318359375,77563.5234375,107136.3359375,222672.625,81813.9404296875,235481.2109375,170541.2734375,191827.328125,191559.96875,12139.26904296875,12433.99560546875,16867.201171875,35708.328125,75055.359375,95113.1875,171410.2265625,60650.3349609375,151307.1953125,102528.82958984375,176878.9453125,171109.0234375,12226.8544921875,13637.53076171875,13575.515625,12139.35693359375,13157.4892578125,13354.8515625,13684.70361328125,18099.13623046875,15663.1669921875,16006.326171875,16121.51953125,21121.634765625
6,6,715.9695442136655,0.048347107438016436,0,0.9778274655830631,1.0552284741122782,0,0,121051.26953125,264004.21875,126128.5703125,109920.80859375,142540.0,132344.08984375,122307.51953125,108787.5078125,124523.5625,113023.30078125,111137.23828125,109205.625,88011.60546875,130147.46484375,107563.21875,102490.4296875,133111.4453125,112161.99609375,131759.80859375,130139.43359375,117929.02734375,139993.3984375,100112.875,92507.76171875,100323.40234375,132021.140625,94140.47265625,106506.3828125,123493.08984375,149027.6640625,134171.4453125,144102.96484375,105457.03515625,123216.9609375,117386.95703125,122510.8046875,102020.36328125,114708.09765625,121334.24609375,126224.74609375,109456.9765625,116550.21484375,125110.13671875,122799.2578125,113960.41015625,104689.234375,101676.03125,105229.125,132787.984375
7,7,146.96877572410986,1.1394736842105235,0,9.23361419768364e-16,0.7498600438767212,0,0,0.0,0.0,6826.138916015625,7084.155029296875,7738.012939453125,11898.01171875,28764.4912109375,51708.603515625,144469.3515625,120093.28125,193663.0234375,244250.2421875,239232.203125,0.0,0.0,5300.225341796875,22958.5810546875,40243.005859375,53587.021484375,184546.0625,162797.5,259989.4296875,194809.671875,249227.8203125,323287.921875,0.0,2594.337158203125,7454.80712890625,17980.5244140625,31336.5,52167.470703125,101897.625,92508.15234375,153473.3203125,204823.0234375,183500.1015625,254715.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,956.9700210192972,1.1099173553718984,0,1.1014066071999264,1.0357705142874585,0,0,170165.6640625,175721.9765625,156055.0234375,110273.1640625,230718.359375,187200.21875,193753.859375,125117.46484375,124485.484375,108506.94921875,85672.8359375,62467.74609375,34182.427734375,161191.9453125,172697.078125,166764.1171875,189033.7109375,184674.3359375,153515.9140625,52901.40087890625,95471.890625,74450.71484375,60335.671875,49664.3359375,44993.744140625,165237.71875,147954.234375,171926.6015625,149241.140625,180949.7265625,148695.98828125,152247.921875,108265.19921875,104803.18359375,99299.2109375,82060.25,54221.408203125,166763.25,168164.9140625,180724.0859375,183143.8046875,213053.015625,181798.609375,192633.8671875,152836.4609375,134313.80078125,120729.71875,132141.97265625,166094.0625
9,9,940.0009175367317,10.627160493827162,0,0.8529958747585007,0.9753298640010065,0,0,502179.2421875,851069.3828125,162931.296875,166702.4296875,843708.4375,873773.40625,158463.8671875,131088.890625,157246.296875,129257.0625,141087.59375,101136.0546875,81944.07421875,167171.5703125,167391.7109375,121916.14453125,676530.5078125,161315.328125,160791.328125,157821.8203125,147217.54296875,833842.8984375,88268.82421875,119747.63671875,120025.40234375,351832.75,153353.4453125,138975.87109375,148954.796875,354059.9375,770455.59765625,452351.8125,120374.35546875,100918.60546875,158173.7890625,110330.453125,85029.23828125,154433.9921875,164938.7734375,429522.640625,150976.8125,830503.96875,162918.0546875,893692.0,142489.2109375,104055.515625,102316.23046875,126762.19140625,184932.09375
10,10,940.0009220578543,9.506584362139941,0,1.0030019685016596,1.0766950594699771,0,0,102652.671875,105615.9296875,65838.400390625,86439.2109375,108957.890625,167972.02734375,73593.060546875,89970.26953125,78674.61328125,90616.00390625,89020.23046875,92911.078125,87201.6484375,78254.92578125,76096.625,90623.515625,101890.19921875,70872.91796875,70681.06640625,79320.18359375,93989.2578125,106848.59375,91668.3671875,102303.7734375,98996.22265625,89111.990234375,90120.41796875,69328.1640625,69561.05078125,95550.20703125,110736.33984375,86370.595703125,93286.98828125,77753.9765625,90240.65234375,78382.609375,91917.22265625,72237.78515625,65967.58203125,93343.810546875,68497.97265625,99604.29296875,72477.24609375,187882.861328125,86854.6640625,91866.0234375,89625.5546875,91814.02734375,97834.44921875
